128	Static Red
129	Static Blue
130	Static Green
131	Static Cyan
132	Static Yellow
133	Static Purple
134	Static White
135	Three Color Jumping Change
136	Seven Color Jumping Change
137	Three Color Cross Fade
138	Seven Color Cross Fade
139	Red Gradual Change
140	Green Gradual Change
141	Blue Gradual Change
142	Yellow Gradual Change
143	Cyan Gradual Change
144	Purple Gradual Change
145	White Gradual Change
146	Red Green Cross Fade
147	Red Blue Cross Fade
148	Green Blue Cross Fade
149	Seven color Stobe Flash
150	Red Strobe Flash
151	Green Strobe Flash
152	Blue Strobe Flash
153	Yellow Strobe Flash
154	Cyan Strobe Flash
155	Purple Strobe Flash
156	White Strobe Flash
